"token", rating
"absolute", 1.0
"amateur", 1.0
"amateurish", 1.0
"anybody", 1.0
"ashamed", 1.0
"atrocious", 1.0
"christian", 1.0
"costs", 1.0
"crappy", 1.0
"deserve", 1.0
"disaster", 1.0
"disgusting", 1.0
"ed", 1.0
"embarrassed", 1.0
"fat", 1.0
"folks", 1.0
"green", 1.0
"hated", 1.0
"industry", 1.0
"insult", 1.0
"intelligence", 1.0
"junk", 1.0
"million", 1.0
"names", 1.0
"negative", 1.0
"offensive", 1.0
"p", 1.0
"painfully", 1.0
"pile", 1.0
"remotely", 1.0
"sat", 1.0
"screaming", 1.0
"shallow", 1.0
"shouldn't", 1.0
"sick", 1.0
"somebody", 1.0
"stuck", 1.0
"suck", 1.0
"sucks", 1.0
"theatre", 1.0
"trust", 1.0
"utter", 1.0
"walked", 1.0
"wall", 1.0
"warning", 1.0
"wasting", 1.0
"wood", 1.0
"zero", 1.0
"zombies", 1.0
"garbage", 1.30710637944
"whatsoever", 1.37217003451
"f", 1.3804948521
"trash", 1.3806307928
"rubbish", 1.39808892475
"rented", 1.41621812057
"paid", 1.42002779682
"dreadful", 1.42614927631
"k", 1.44468020923
"torture", 1.44535043121
"porn", 1.44632891397
"finish", 1.45833759112
"gay", 1.45997212464
"seconds", 1.46791831756
"unfunny", 1.47030154458
"cartoon", 1.47392225448
"rip", 1.47392225448
"embarrassing", 1.4807578218
"computer", 1.48367471276
"students", 1.50305605921
"sucked", 1.5064115009
"thats", 1.50926796466
"nonsense", 1.51258234851
"favor", 1.51596173
"student", 1.52538648074
"sleep", 1.53139137432
"horribly", 1.53892339284
"super", 1.5527966965
"pathetic", 1.7051571943
"excuse", 1.82068844479
"wow", 1.82261999599
"redeeming", 1.8438093322
"painful", 1.84459270343
"brain", 1.85499161766
"random", 1.88360978636
"utterly", 1.88690263595
"damn", 1.88849513113
"crap", 1.89015163343
"sitting", 1.9088851779
"channel", 1.91177984875
"throw", 1.91253387373
"mistake", 1.9188041807
"college", 1.92046771571
"avoid", 1.93505964295
"walking", 1.93535611699
"you'd", 1.95222790699
"filming", 1.9551671776
"ugly", 1.96955014502
"waste", 1.97625598807
"dies", 1.98130219253
"spoiler", 1.98173442472
"naked", 1.98555899398
"advice", 2.0
"apparent", 2.0
"cgi", 2.0
"comparison", 2.0
"cops", 2.0
"count", 2.0
"execution", 2.0
"exist", 2.0
"fail", 2.0
"fashion", 2.0
"here's", 2.0
"ill", 2.0
"normally", 2.0
"notice", 2.0
"picked", 2.0
"pull", 2.0
"saved", 2.0
"scientist", 2.0
"soldiers", 2.0
"st", 2.0
"standards", 2.0
"stock", 2.0
"uninteresting", 2.0
"vampire", 2.0
"van", 2.0
"worthy", 2.00117017689
"absurd", 2.00303187046
"horrible", 2.00724973724
"holes", 2.01223996615
