app,count,percent
"gettingstarted
search
splunk_datapreview",51162,"23.809014"
"SplunkDeploymentMonitor
gettingstarted
search
splunk_datapreview",13971,"6.501617"
"SplunkDeploymentMonitor
gettingstarted
search",4990,"2.322172"
"search
unix",3401,"1.582707"
"AccessProtection
EndpointProtection
NetworkProtection
AccessProtection
AuditAndDataProtection
CommonInformationModel
EndpointProtection
Eventgen
IdentityManagement
NetworkProtection
ThreatIntelligence
Utils
SplunkEnterpriseSecuritySuite
Splunk_TA_windows
airdefense
alcatel
bluecoat
cef
checkpoint
apps",3389,"1.577123"
"SPLUNK4JMX
search
unix",2778,"1.292785"
"gettingstarted
search
splunk_datapreview
windows",2613,"1.215999"
"gettingstarted
search
splunk_datapreview
unix",2269,"1.055914"
"gettingstarted
search
splunk_datapreview
test_inputs_are_unique_even_between_apps",2269,"1.055914"
search,2077,"0.966564"
"gettingstarted
search
shuttl
splunk_datapreview",1571,"0.731089"
"SplunkDeploymentMonitor
gettingstarted
search
splunk_datapreview
unix",1258,"0.585429"
"SplunkDeploymentMonitor
gettingstarted
search
splunk_datapreview
windows",688,"0.320171"
"SplunkDeploymentMonitor
gettingstarted
pdfserver
search
splunk_datapreview",661,"0.307606"
"dbx
gettingstarted
search
splunk_datapreview",655,"0.304814"
"AccessProtection
EndpointProtection
NetworkProtection
AccessProtection
AuditAndDataProtection
CommonInformationModel
EndpointProtection
Eventgen
IdentityManagement
NetworkProtection
ThreatIntelligence
Utils
SplunkEnterpriseSecurityInstaller
SplunkEnterpriseSecuritySuite
Splunk_TA_windows
airdefense
alcatel
bluecoat
cef
checkpoint",652,"0.303418"
"gettingstarted
search
splunk_datapreview
splunk_deployment_monitor",647,"0.301091"
"SplunkDeploymentMonitor
gettingstarted
search
sideview_utils
sos
splunk_datapreview",643,"0.299230"
"gettingstarted
maps
search
splunk_datapreview",557,"0.259208"
"gettingstarted
search
sideview_utils
splunk_datapreview",473,"0.220118"
"HierarchyInventory
LogEventTask
Performance
Utils
HierarchyInventory
LogEventTask
Performance
SplunkDeploymentMonitor
SplunkForSAP
SplunkViz
Splunk_CiscoClientSecurityAgent
Splunk_CiscoFirewalls
Splunk_CiscoIronportEmailSecurity
Splunk_CiscoIronportWebSecurity
Splunk_CiscoMars
Splunk_CiscoSecuritySuite
Splunk_HuaweiCsoftX3000
Splunk_TA_vcenter
Splunk_TA_vmware
Splunk_TxnProfiling",441,"0.205226"
"PDFRender
gettingstarted
search
splunk_datapreview",428,"0.199176"
"gettingstarted
search
splunk_datapreview
unix
windows",421,"0.195919"
"SplunkDeploymentMonitor
gettingstarted
search
unix",394,"0.183354"
"SplunkDeploymentMonitor
gettingstarted
search
splunk_datapreview
splunk_license_usage",363,"0.168928"
"SplunkDeploymentMonitor
SplunkforSendmailC3E
SplunkforSendmailSentrion
gettingstarted
pdfserver
search",363,"0.168928"
"sos
gettingstarted
search
splunk_datapreview
unix",362,"0.168462"
"SplunkDeploymentMonitor
gettingstarted
search
splunk_datapreview
test_inputs_are_unique_even_between_apps",350,"0.162878"
"gettingstarted
ossec
search
splunk_datapreview",335,"0.155897"
"SplunkDeploymentMonitor
gettingstarted
search
splunk_datapreview
unix
windows",310,"0.144263"
"SplunkDeploymentMonitor
gettingstarted
maps
search
splunk_datapreview",309,"0.143798"
"gettingstarted
search
sideview_utils
sos
splunk_datapreview",304,"0.141471"
"SplunkDeploymentMonitor
gettingstarted
infoblox
pdfserver
search",290,"0.134956"
"gettingstarted
incident_analyzer
search
splunk_datapreview",286,"0.133094"
"gettingstarted
search
splunk_datapreview
webintelligence",274,"0.127510"
"Splunk_CiscoFirewalls
gettingstarted
search
splunk_datapreview",268,"0.124718"
"MAXMIND
Mailman
Puppet
SplunkDeploymentMonitor
SplunkForNagios
SplunkforF5
gettingstarted
mobile
search
sideview_utils
sos
splunk_datapreview
splunk_license_usage",264,"0.122856"
"MAXMIND
SplunkforSnort
gettingstarted
ids_ref
maps
modsecurity
ossec
search
sideview_utils
splunk_datapreview
splunkforfail2ban
unix",259,"0.120530"
"dashboard_examples
gettingstarted
search
sideview_utils
sos
splunk_datapreview",257,"0.119599"
"Splunk_Fortigate
gettingstarted
search
splunk_datapreview",217,"0.100984"
