time,Origin,OriginAirport,OriginCityName,OriginState,OriginStateName,count
"01/03/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/05/2012 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/07/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/10/2012 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/12/2012 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/12/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/13/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,3
"01/16/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/18/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/20/2012 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,2
"01/23/2012 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,2
"01/25/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/27/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/28/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/30/2013 00:00:00.000",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,1
"01/02/2013 00:00:00.000",ABI,"Abilene, TX: Abilene Regional","Abilene, TX",TX,Texas,1
"01/09/2012 00:00:00.000",ABI,"Abilene, TX: Abilene Regional","Abilene, TX",TX,Texas,1
"01/12/2012 00:00:00.000",ABI,"Abilene, TX: Abilene Regional","Abilene, TX",TX,Texas,1
"01/15/2012 00:00:00.000",ABI,"Abilene, TX: Abilene Regional","Abilene, TX",TX,Texas,1
"01/15/2013 00:00:00.000",ABI,"Abilene, TX: Abilene Regional","Abilene, TX",TX,Texas,1
"01/21/2013 00:00:00.000",ABI,"Abilene, TX: Abilene Regional","Abilene, TX",TX,Texas,1
"01/22/2012 00:00:00.000",ABI,"Abilene, TX: Abilene Regional","Abilene, TX",TX,Texas,2
"01/29/2013 00:00:00.000",ABI,"Abilene, TX: Abilene Regional","Abilene, TX",TX,Texas,2
"01/01/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/02/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/04/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",2
"01/05/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/09/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/10/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",2
"01/12/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/13/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/15/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",2
"01/16/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/19/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/20/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/20/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",2
"01/21/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/22/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/24/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",3
"01/24/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",4
"01/25/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",4
"01/26/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",2
"01/27/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/28/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",2
"01/30/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/30/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/31/2012 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",1
"01/31/2013 00:00:00.000",ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,"New Mexico",2
"01/11/2013 00:00:00.000",ABR,"Aberdeen, SD: Aberdeen Regional","Aberdeen, SD",SD,"South Dakota",1
"01/23/2013 00:00:00.000",ABR,"Aberdeen, SD: Aberdeen Regional","Aberdeen, SD",SD,"South Dakota",1
"01/28/2013 00:00:00.000",ABR,"Aberdeen, SD: Aberdeen Regional","Aberdeen, SD",SD,"South Dakota",1
"01/17/2013 00:00:00.000",ABY,"Albany, GA: Southwest Georgia Regional","Albany, GA",GA,Georgia,2
"01/18/2013 00:00:00.000",ABY,"Albany, GA: Southwest Georgia Regional","Albany, GA",GA,Georgia,1
"01/15/2013 00:00:00.000",ACT,"Waco, TX: Waco Regional","Waco, TX",TX,Texas,1
"01/29/2013 00:00:00.000",ACT,"Waco, TX: Waco Regional","Waco, TX",TX,Texas,1
"01/03/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/07/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/08/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/08/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,2
"01/09/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/10/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,2
"01/11/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/12/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/14/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/17/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,8
"01/18/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,5
"01/19/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,4
"01/19/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,3
"01/20/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,3
"01/21/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/22/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/23/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,2
"01/23/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/24/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/25/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/25/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/26/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/26/2013 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/30/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,1
"01/31/2012 00:00:00.000",ACV,"Arcata/Eureka, CA: Arcata","Arcata/Eureka, CA",CA,California,2
"01/06/2013 00:00:00.000",ADK,"Adak Island, AK: Adak","Adak Island, AK",AK,Alaska,1
"01/12/2012 00:00:00.000",ADK,"Adak Island, AK: Adak","Adak Island, AK",AK,Alaska,1
"01/13/2013 00:00:00.000",ADK,"Adak Island, AK: Adak","Adak Island, AK",AK,Alaska,1
"01/15/2012 00:00:00.000",ADK,"Adak Island, AK: Adak","Adak Island, AK",AK,Alaska,1
"01/02/2013 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/03/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/07/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/08/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/09/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/10/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,2
"01/12/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/15/2013 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/18/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,2
"01/20/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/24/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/28/2013 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/29/2013 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,1
"01/30/2012 00:00:00.000",ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,Alaska,2
"01/07/2013 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,1
"01/08/2012 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,1
"01/09/2012 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,1
"01/10/2013 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,1
"01/15/2013 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,1
"01/20/2013 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,1
"01/23/2013 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,1
"01/25/2012 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,2
"01/29/2013 00:00:00.000",AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,Louisiana,1
"01/06/2012 00:00:00.000",AGS,"Augusta, GA: Augusta Regional at Bush Field","Augusta, GA",GA,Georgia,1
"01/10/2013 00:00:00.000",AGS,"Augusta, GA: Augusta Regional at Bush Field","Augusta, GA",GA,Georgia,1
"01/22/2012 00:00:00.000",AGS,"Augusta, GA: Augusta Regional at Bush Field","Augusta, GA",GA,Georgia,1
"01/23/2012 00:00:00.000",AGS,"Augusta, GA: Augusta Regional at Bush Field","Augusta, GA",GA,Georgia,1
"01/30/2013 00:00:00.000",AGS,"Augusta, GA: Augusta Regional at Bush Field","Augusta, GA",GA,Georgia,3
"01/02/2012 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",2
"01/03/2012 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
"01/05/2012 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
"01/11/2013 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
"01/12/2012 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
"01/13/2013 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
"01/16/2013 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",2
"01/20/2012 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",2
"01/21/2012 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
"01/21/2013 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
"01/22/2013 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",4
"01/23/2013 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
"01/24/2012 00:00:00.000",ALB,"Albany, NY: Albany International","Albany, NY",NY,"New York",1
