x_webcat_code_abbr,webcat_code_full,usage,severity
-,URL Filtering Bypassed,Unknown,medium
adlt,Adult,Personal,informational
Adul,Adult/Sexually Explicit,Violation,informational
adv,Advertisements,Personal,informational
Adve,Advertisements & Popups,Personal,informational
alc,Alcohol,unknown,unknown
Alco,Alcohol & Tobacco,Violation,unknown
art,Arts and Entertainment,Personal,unknown
Arts,Arts,Personal,unknown
astr,Astrology,unknown,unknown
auct,Auctions,unknown,unknown
aud,Streaming audio,unknown,unknown
at,Alcohol and Tobacco,Violation,unknown
Blog,Blogs & Forums,Personal,medium
Busi,Business,Business,unknown
busi,Business and Industry,Business,unknown
card,Digital postcards,unknown,unknown
cell,Mobile Phones,Personal,informational
Chat,Chat,Borderline,medium
chat,Web-based Chat,Borderline,medium
comm,Online Communities,Personal,medium
comp,Computers and Internet,Business,unknown
Comp,Computing & Internet,Business,unknown
cprn,Child Porn,Personal,informational
Crim,Criminal Activity,Personal,informational
csec,Computer Security,Personal,high
cult,Cults,Violation,informational
date,Dating,Violation,informational
diy,DIY Projects,unknown,unknown
dyn,Dynamic and residential,unknown,unknown
Down,Downloads,Personal,medium
drug,Illegal Drugs,Violation,informational
edu,Education,Personal,unknown
Educ,Education,Personal,unknown
ent,Entertainment,unknown,unknown
Ente,Entertainment,Personal,unknown
err,URL Filtering Bypassed,Unknown,medium
extr,Extreme,unknown,unknown
Fash,Fashion & Beauty,Personal,unknown
fash,Fashion,unknown,unknown
filt,Filter Avoidance,Unknown,medium
Fina,Finance & Investment,Borderline,informational
fnnc,Finance,Borderline,informational
food,Dining and Drinking,Personal,unknown
Food,Food & Dining,Personal,unknown
free,Freeware and Shareware,Personal,medium
fts,File Transfer Services,Personal,medium
Gamb,Gambling,Violation,informational
gamb,Gambling,Violation,informational
Game,Games,Personal,informational
game,Games,Personal,informational
gov,Government and Law,Personal,unknown
Gove,Government,Personal,unknown
Hack,Hacking,Violation,high
hack,Hacking,Violation,high
hate,Hate Speech,Violation,informational
Heal,Health & Medicine,Personal,unknown
heal,Spiritual Healing,Personal,unknown
hlth,Health and Nutrition,Personal,unknown
Hobb,Hobbies & Recreation,Personal,unknown
hunt,Hunting,unknown,unknown
Host,Hosting Sites,Personal,medium
ilac,Illegal Activities,Violation,informational
ildl,Illegal downloads,unknown,unknown
Ille,Illegal Drugs,Violation,informational
im,Instant Messaging,Borderline,medium
img,Photo searches and images,unknown,unknown
imp,Impossible,Unknown,medium
Infr,Infrastructure,Unknown,unknown
