message_type, arerror_code, message_summary, message_description
Error,1,Message not in catalog -- mess,Message not in catalog -- message number = messageNumber.
Error,22,Failure during open/write to t,"Failure during open/write to the filter/escalation log file, logging to the log file is suspended."
Error,24,Failure while trying to run th,Failure while trying to run the filter/escalation process.
Error,25,Fields in 'set fields' action ,Fields in 'set fields' action do not exist in the target form.
Error,26,Administrator operations are d,Administrator operations are disabled on this server.
Error,28,The demo license for this AR S,The demo license for this AR Server has expired. Please contact your distributor for license information.
Error,33,AR System failed to start a pr,AR System failed to start a process. Make sure that your system is not low on resources.
Error,34,Error while opening the AR Sys,Error while opening the AR System server lock file.
Error,35,Another copy of the server is ,Another copy of the server is already running on the same RPC socket.
Error,36,The database is not the expect,The database is not the expected version (may need to run upgrade program).
Error,37,Error while accessing one of t,Error while accessing one of the debug trace files. Debug tracing to the file is disabled.
Error,38,Filter/escalation 'set field' ,Filter/escalation 'set field' process returned an error. The current transaction is rejected. No update to the database occurred.
Error,39,Filter/escalation 'set field' ,Filter/escalation 'set field' process timed out before completion.
Error,43,Unable to retrieve the menu fo,Unable to retrieve the menu for character field ''field name''.
Error,44,You have exceeded the maximum ,You have exceeded the maximum number of forms allowed under the current server license.
Error,46,Message action and Log action ,Message action and Log action in else branch are not supported for escalations.
Error,48,Insufficient space for the res,"Insufficient space for the response to be returned (minimum of 4,096 bytes)."
Error,49,Internal error: The request ID,Internal error: The request ID is invalid.
Error,90,Cannot establish a network con,Cannot establish a network connection to the AR System server.
Error,91,RPC call failed.,RPC call failed.
Error,154,The system encountered an erro,The system encountered an error during a call to allocate memory space.
Error,155,The buffer for holding the ret,The buffer for holding the return value is not specified.
Error,156,The buffer for holding the inp,The buffer for holding the input value is not specified.
Error,157,Field IDs below 100 are reserv,Field IDs below 100 are reserved for core fields.
Error,158,Entry ID field cannot exceed 1,Entry ID field cannot exceed 10 characters.
Error,159,A server name is not supplied.,A server name is not supplied.
Error,160,Data Decompression has failed.,Data Decompression has failed.
Error,161,The session identifier in the ,The session identifier in the control record is invalid.
Error,162,Notify Text is empty or too lo,Notify Text is empty or too long.
Error,163,The tag for the notify fields ,The tag for the notify fields is invalid.
Error,165,The numItems value for a param,The numItems value for a parameter was not set.
Error,166,The data type specified does n,The data type specified does not match the field's data type.
Error,167,The limit specified for the fi,The limit specified for the field does not match the field's data type.
Error,168,One of the field/value assignm,One of the field/value assignments in the set filter/active link/escalation definition is invalid.
Error,169,Execution order value is out o,Execution order value is out of range.
Error,170,Status history tag is invalid.,Status history tag is invalid.
Error,171,The specified status field val,The specified status field value is out of range.
Error,172,The required service is not av,The required service is not available.
Error,173,Language specified in the cont,Language specified in the control record not recognized  --  using default on server.
Error,174,Display type specified is inco,Display type specified is incompatible for the data type.
Error,175,The Number of Rows value of th,The Number of Rows value of the display parameter is out of range.
Error,176,Duplicate name in the selectio,Duplicate name in the selection list.
Error,177,Change permission cannot be gi,Change permission cannot be given to a view-only group.
Error,178,"Field ID cannot be empty, plea","Field ID cannot be empty, please provide an field id or enter 0 for the system to assign a value."
Error,179,Pattern in a character limit i,Pattern in a character limit is invalid.
Error,180,Specified length for a charact,Specified length for a character type is longer than the maximum allowed length.
Error,181,The ID specified for this fiel,The ID specified for this field is in the reserved field range.
Error,182,Too many actions have been spe,Too many actions have been specified for this filter/active link/escalation.
Error,183,Duplicate group ID was specifi,Duplicate group ID was specified in permission list.
Error,184,Quotation mark cannot be used ,Quotation mark cannot be used in Entry ID field.
Error,185,Cannot assign default value to,Cannot assign default value to system core or reserved fields (except Entry ID).
Error,186,Cannot assign character menu t,Cannot assign character menu to system core or reserved fields.
Error,187,Execute mask parameter is out ,Execute mask parameter is out of bounds.
Error,188,On Return or On Menu choice co,On Return or On Menu choice condition does not have a Field specified.
Error,189,Active link does not have an a,Active link does not have an action defined.
Error,190,Unrecognized active link actio,Unrecognized active link action type.
Error,191,Unrecognized assign type.,Unrecognized assign type.
Error,192,Field/assignment list item is ,Field/assignment list item is empty.
Error,193,"One or more fields, or assignm","One or more fields, or assignment items in the field or assignment list, encountered an error."
Error,194,The ARAssignFieldStruct tag fo,The ARAssignFieldStruct tag for filter/active link/escalation is not recognized.
Error,195,Filter/active link/escalation ,Filter/active link/escalation 'set field' definition is missing.
Error,196,Macro branch of active link ac,Macro branch of active link action must include both a name and macro text.
Error,197,Unrecognized keyword.,Unrecognized keyword.
Error,198,Cannot use the $DEFAULT$ keywo,Cannot use the $DEFAULT$ keyword as a default value or in a qualification.
Error,199,Missing name for a macro param,Missing name for a macro parameter in the active link action.
Error,200,Macro value string is longer t,Macro value string is longer than the maximum allowed length.
Error,201,Unrecognized or misused tag fo,Unrecognized or misused tag for field/value definition.
Error,202,The name specified for the use,The name specified for the user to be notified is too long.
Error,203,Value list is empty.,Value list is empty.
Error,204,Notify priority is out of rang,Notify priority is out of range (0 to 10).
Error,206,Unrecognized character menu ty,Unrecognized character menu type.
Error,207,Unrecognized character menu re,Unrecognized character menu refresh code.
Error,208,Unrecognized character menu fi,Unrecognized character menu file location.
Error,209,Filename for a character menu ,"Filename for a character menu is empty, or too long."
Error,211,Incorrect number of allowed fi,Incorrect number of allowed fields is specified in a single index.
Error,212,Display list is empty.,Display list is empty.
Error,213,Qualifier parameter is empty  ,Qualifier parameter is empty  --  must be a pointer to memory.
Error,214,One of the items in the displa,One of the items in the display list of field definitions is invalid.
Error,215,The total length of the result,The total length of the results list is greater than the maximum allowed.
Error,216,ARServerInfoList is empty.,ARServerInfoList is empty.
Error,217,Update to Server information a,Update to Server information associated with this tag is not allowed.
Error,218,Server information associated ,Server information associated with this tag cannot be viewed.
Error,219,Incorrect Server information d,Incorrect Server information data type.
Error,220,Local variable number is out o,Local variable number is out of range (must be 0 to 10).
Error,221,Query value is empty.,Query value is empty.
Error,222,Query contains an error.,Query contains an error.
Error,223,The action tag for multiple ma,The action tag for multiple match is invalid.
Error,224,"Cannot index a diary field, an","Cannot index a diary field, an unlimited length field, or a field with a maximum length over 255 bytes."
Error,225,Set fields actions in a filter,Set fields actions in a filter/escalation that reference entries in other forms can only reference forms on the same server.
Error,226,"Type of field, value, or arith","Type of field, value, or arithmetic operation is not supported on the GetListEntry operation."
Error,227,Unrecognized value for set foc,Unrecognized value for set focus characteristic.
Error,228,Unrecognized value for set acc,Unrecognized value for set access option characteristic.
Error,229,Function to be performed is no,Function to be performed is not defined.
Error,230,The specified function code is,The specified function code is invalid.
Error,231,Parameter list for a function ,Parameter list for a function is empty.
Error,232,Incompatible value types in a ,Incompatible value types in a value list.
Error,233,Invalid parameter setting in f,Invalid parameter setting in function definition.
Error,234,Value specified for the filter,Value specified for the filter/escalation 'set fields' process timeout exceeds the range of 1 to 60 seconds.
Error,235,Invalid user list type.,Invalid user list type.
Error,236,License timeout cannot be less,License timeout cannot be less than 1 hour.
Error,237,Value specified for DDE servic,Value specified for DDE service name or topic is missing or larger than the maximum allowed length.
Error,238,Value for DDE item is larger t,Value for DDE item is larger than the maximum allowed length.
Error,239,Invalid DDE action.,Invalid DDE action.
Error,240,Fields that have lengths over ,"Fields that have lengths over 255 bytes (including diary fields, unlimited length character fields, and the Status History field) cannot be specified as sort fields."
Error,241,Fields that have lengths over ,"Fields that have lengths over 255 bytes (including diary fields, unlimited length character fields, and the Status History field) cannot be specified as fields in the list returned by the Get List function."
Error,242,"The specified field, value, or","The specified field, value, or arithmetic operation type is not supported outside of a filter qualification."
Error,243,DDE definition is empty.,DDE definition is empty.
Error,244,The path to the program field ,The path to the program field of the DDE active link action is missing or is too large.
Error,246,Invalid day format.,Invalid day format.
Error,247,Invalid interval time.,Invalid interval time.
Error,248,Invalid day selection.,Invalid day selection.
Error,249,Invalid hour format.,Invalid hour format.
Error,250,Invalid minute format.,Invalid minute format.
Error,251,Invalid value for enabling or ,Invalid value for enabling or disabling a filter/active link/escalation.
Error,252,One or more groups in the list,One or more groups in the list of groups for the Subadministrator is not a group defined on this
Error,254,Subject line is longer than th,Subject line is longer than the maximum allowed length.
Error,255,Unrecognized submitter mode.,Unrecognized submitter mode.
Error,256,Unrecognized server statistics,Unrecognized server statistics tag.
Error,257,A display tag to identify the ,A display tag to identify the view is not unique.
Error,258,The RPC socket number for the ,"The RPC socket number for the Distributed Server process is not one of the legal values (390600, 390621 - 390634, 390636 - 390669, 390680 - 390694)."
Error,259,Unrecognized no match action.,Unrecognized no match action.
Error,260,Unrecognized multiple match ac,Unrecognized multiple match action.
Error,261,SQL command is empty.,SQL command is empty.
Error,262,Field having length over 255 b,"Field having length over 255 bytes (including diary fields, unlimited length character fields, and the Status History field) cannot be used as fields to group by."
Error,263,Unrecognized save login code.,Unrecognized save login code.
Error,264,Server name for a character me,Server name for a character menu is empty or too long.
Error,265,Join or View form definition i,Join or View form definition is empty.
Error,266,Invalid join member form name.,Invalid join member form name.
Error,267,Invalid join form qualificatio,Invalid join form qualification.
Error,268,Invalid view form definition.,Invalid view form definition.
Error,269,Invalid form type in join or v,Invalid form type in join or view form definition.
Error,270,Field mapping is empty.,Field mapping is empty.
Error,271,A form field is tied to an inv,A form field is tied to an invalid index.
Error,272,The table name identified in t,The table name identified in the view form definition does not exist.
Error,273,Invalid field mapping type.,Invalid field mapping type.
Error,274,"After a form (base, join, or v","After a form (base, join, or view) is created, you cannot change the form type."
Error,275,Index not allowed on join form,Index not allowed on join form.
Error,276,This form cannot be deleted be,This form cannot be deleted because it is referenced by a join form as a base form with ''No Delete'' flag set.
Error,277, The field is referenced by a , The field is referenced by a join form as a base field with No Delete flag set.
Error,278,This field is used in a join f,This field is used in a join form qualification and with No Delete flag set.
Error,279,Selection Value ID too large.,Selection Value ID too large.
Error,281,Multiple links cannot be mappe,Multiple links cannot be mapped to the same button.
Error,282,A default view for this form a,A default view for this form already exists.
Error,283,The specified data type is not,The specified data type is not supported.
Error,284,Escalation does not have an ac,Escalation does not have an action defined.
Error,285,A field referenced in the qual,A field referenced in the qualification is not a data field.
Error,286,Display Only fields cannot be ,Display Only fields cannot be included in a query to the database.
Error,287,Status field must be created b,Status field must be created before status history field can be created.
Error,288,The requested operation is not,The requested operation is not supported on the server.
Error,289,Nested outer join is not suppo,Nested outer join is not supported by Sybase /SQL database.
Error,290,Cannot access the join form wi,Cannot access the join form with this version of the client.
Error,291,Message text is empty or too l,Message text is empty or too long.
Error,292,Invalid item list for entry ex,Invalid item list for entry existence.
Error,293,Expected column data missing f,Expected column data missing from multiple entries.
Error,294,Requested number of entries ex,Requested number of entries exceeds maximum allowed.
Error,295,File pointer is NULL or invali,File pointer is NULL or invalid file pointer.
Error,296,Invalid support file type.,Invalid support file type.
Error,297,Admin released license too rec,Admin released license too recently.
Error,298,Too many filters processed dur,Too many filters processed during this operation.
Error,299,Too many levels in filter proc,Too many levels in filter processing.
Error,300,Insufficient server memory for,Insufficient server memory for running this process.
Error,301,Error while writing to a file.,Error while writing to a file.
Error,302,Entry does not exist in databa,Entry does not exist in database.
Error,303,Form does not exist on server.,Form does not exist on server.
Error,304,Must have Administrative permi,Must have Administrative permissions to perform this operation.
Error,305,Next available ID length excee,Next available ID length exceeds the Entry ID field length  --  contact the Administrator.
Error,306,Value does not fall within the,Value does not fall within the limits specified for the field.
Error,307,Required field cannot be blank,Required field cannot be blank.
Error,308,Duplicate field in the field l,Duplicate field in the field list.
Error,309,The entry you are working on w,The entry you are working on was modified by another user after the last time you retrieved it.
Error,310,Value has wrong data type for ,Value has wrong data type for the field.
Error,311,Field ID specified is not foun,Field ID specified is not found on this form.
Error,312,Incompatible data types for in,Incompatible data types for intended arithmetic operation.
Error,313,Incompatible data types for in,Incompatible data types for intended relational operation.
Error,314,Field does not exist on curren,Field does not exist on current form.
Error,315,Form/field to delete contains ,"Form/field to delete contains data, please confirm the deletion."
Error,316,Failed to create the temporary,Failed to create the temporary file.
Error,317,Duplicate form name.,Duplicate form name.
Error,318,Group does not exist on server,Group does not exist on server.
Error,319,Specified field length exceeds,Specified field length exceeds the max limit.
Error,320,Character menu does not exist ,Character menu does not exist on server.
Error,321,Too many levels in character m,Too many levels in character menu definition.
Error,322,Invalid hierarchy in character,Invalid hierarchy in character menu definition.
Error,323,Filter does not exist on serve,Filter does not exist on server.
Error,324,Administrator command does not,Administrator command does not exist on server.
Error,325,Duplicate filter name.,Duplicate filter name.
Error,326,Required field cannot be blank,Required field cannot be blank.
Error,327,Incorrect data type for statis,Incorrect data type for statistical operation.
Error,328,Duplicate command name.,Duplicate command name.
Error,329,Invalid password or authentica,Invalid password or authentication string.
Error,330,You do not have write access t,You do not have write access to this field.
Error,331,You do not have write access t,You do not have write access to this record.
Error,332,You do not have write access t,You do not have write access to the field before the record is saved.
Error,333,You have no access to field.,You have no access to field.
Error,334,An AR System reserved field de,An AR System reserved field definition cannot be modified.
Error,335,Format for an AR System reserv,Format for an AR System reserved field is invalid.
Error,336,Cannot assign a user to the sp,"Cannot assign a user to the special Submitter (3), Assignee (4), Assignee Group (7), Dynamic, or Computed groups."
Error,337,You have reached the maximum n,"You have reached the maximum number of database entries permitted with this version of the Action Request System(R). To purchase the unrestricted version, contact your sales representative."
Error,338,"Duplicate Entry ID ''found'', ","Duplicate Entry ID ''found'', and the current setting is ''Do Not Create New''."
Error,339,Incorrect format for a diary f,Incorrect format for a diary field.
Error,340,Incorrect format for the statu,Incorrect format for the status history field.
Error,341,Set Fields process failed.,Set Fields process failed.
Error,342,The AR System directory file c,The AR System directory file could not be opened.
Error,343,Invalid filter definition.,Invalid filter definition.
Error,344,Group type or category conflic,Group type or category conflict between two groups with the same group ID.
Error,345,Duplicate active link name.,Duplicate active link name.
Error,346,Active link does not exist on ,Active link does not exist on server.
Error,347,You have no access to active l,You have no access to active link.
Error,348,Group definition is empty  -- ,Group definition is empty  --  no access to database is possible.
Error,349,Cannot delete a core field.,Cannot delete a core field.
Error,350,Attempt to divide by zero (0) ,Attempt to divide by zero (0) in arithmetic operation.
Error,351,Cannot specify qualification o,Cannot specify qualification on password field.
Error,352,Notification to special Submit,Notification to special Submitter or Assignee group specified. Reference to the Submitter or Assignee group exists in the referenced Submitter or Assigned-to field. Notification canceled to prevent a potential infinite loop.
Error,353,You have no access to form.,You have no access to form.
Error,354,You have no access to administ,You have no access to administrator command.
Error,355,Must be administrator to acces,Must be administrator to access the filter.
Error,356,Duplicate character menu name.,Duplicate character menu name.
Error,357,Character menu contains too ma,Character menu contains too many items on one level (maximum 99).
Error,358,Error while accessing a menu f,Error while accessing a menu file on the server.
Error,359,Set/Create/Delete operations t,Set/Create/Delete operations to definition are only supported on RPC socket 390600.
Error,360,No currency conversion ratio e,No currency conversion ratio exists for the requested conversion.
Error,361,An unqualified search was issu,An unqualified search was issued and the server has been configured to disallow unqualified searches. You must specify some search criteria to perform a search on this form.
Error,363,Required field assigned $DEFAU,Required field assigned $DEFAULT$ but there is no default value for the field.
Error,364,Diary field cannot be set to a,Diary field cannot be set to a NULL value in a filter /escalation.
Error,366,Escalation does not exist on s,Escalation does not exist on server.
Error,367,Duplicate escalation name.,Duplicate escalation name.
Error,368,Error in definition for an esc,Error in definition for an escalation.
Error,369,Must be administrator to acces,Must be administrator to access the escalation.
Error,370,No form ID for the form.,No form ID for the form.
Error,371,You cannot change the value of,You cannot change the value of the Submitter field  --  the 'Submitter Mode' of the system is configured to be locked.
Error,372,Could not create alert event.,Could not create alert event.
