name,description
"cns-000006","PVNET: IPv4 packet contains an invalid checksum"
"cns-000020","PVNET: IP packet contains an invalid version number"
"cns-000050","PVNET: Invalid IP header length detected"
"cns-000056","SYSTM: Protocol decoder issued unknown rule id"
"cns-000060","IANET: UDP packet shorter than specified minimum length"
"cns-000061","SYSTM: System resource issue"
"cns-000062","SYSTM: TCP Proxy resource issue"
"cns-000064","IANET: IPv4 too few hops for non-ICMP packet"
"cns-000067","ARNET: Header Blocking - Traffic blocked as per configuration"
"cns-000068","ARNET: Block by next header for protocol traffic that is not allowed"
"cns-000071","ARNET: Block packets with MPLS labels"
"cns-000072","PVNET: Misclassified MPLS traffic detected"
"cns-000073","IANET: Traffic is nested in more than one tunnel"
"cns-000075","PVNET: Bad Ethernet CRC"
"cns-000076","PVNET: Wrong length in 802.3 frame"
"cns-000080","PVNET: IPv4 source/destination IP is loopback address"
"cns-000081","PVNET: IPv4 source IP is a multicast address"
"cns-000083","PVNET: IPv4 source IP is a broadcast address"
"cns-000085","PVNET: IPv4 length is less than header length"
"cns-000089","IANET: IPv6 too few hops for non-ICMP Packets"
"cns-000090","PVNET: IPv6 source IP is a multicast address"
"cns-000091","PVNET: IPv6 invalid source/destination"
"cns-000092","PVNET: IPv6 destination IP is a multicast local scope or reserved address"
"cns-000093","PVNET: IPv6 routing header, routing type != 2"
"cns-000095","PVNET: Packet too short"
"cns-000096","PVNET: IP packet with excessive Ethernet padding"
"cns-000097","PVNET: IP packet with unnecessary Ethernet padding"
"cns-000098","PVNET: Cannot validate L4 checksum"
"cns-000099","PVNET: Bad extension header length"
"cns-000100","IANET: Packet could not be classified within 256 bytes"
"cns-001001","ARNET: Connection from spoofed IP address"
"cns-001003","IANET: Connection containing reserved IPv4 address"
"cns-001005","PVNET: Connection containing UDP port zero"
"cns-001006","PVNET: Connection containing TCP port zero"
"cns-001007","RLNET: Connection from malicious source IP address"
"cns-001016","IANET: Fragmented packet received against policy that disallows fragmentation"
"cns-001017","ARNET: TCP connection with missed setup"
"cns-001018","RLNET: Connection from client that failed handshake in proxy mode"
"cns-001019","ARNET: Connection to server that fails proxied handshake - Possible SYN flood"
"cns-001020","RLNET: SynFlood - Connection From New Client During DDoS Attack"
"cns-001021","ARNET: Matched by firewall"
"cns-001022","RLNET: Non-TCPRateLimit - Excessive non-TCP connection rate."
"cns-001025","ARNET: TCP connection with missed setup - RST or FIN packet"
"cns-001026","RLNET: IpFragRateLimit - IP fragments exceeded fragment rate threshold"
"cns-001027","ARNET: IP address blocked via the Fast Path"
"cns-001028","ARNET: NTP MONLIST response blocked"
"cns-001029","ARNET: NTP MONLIST request blocked"
"cns-001030","RLNET: SynFlood - Connection From New Client During DDoS Attack"
"cns-001031","RLNET: SynFlood - Connection From New Client During DDoS Attack"
"cns-001032","ARNET: uPNP reply blocked"
"cns-001033","ARNET: Specific reply blocked"
"cns-001034","ARNET: Specific fragmented reply blocked"
"cns-001036","RLNET: IpFragRateLimit - Fragmented to non-fragmented packet ratio exceeded"
"cns-001037","ARNET: generic packet filter"
"cns-001038","ARNET: Inbound SNMP communication blocked"
"cns-001039","ARNET: Chargen responses blocked"
"cns-001100","ARNET: IP address has bad reputation, defined in later version"
"cns-001101","ARNET: IP address reputed to participate in denial of service attacks"
"cns-001102","ARNET: IP address reputed to be infected with malware "
"cns-001103","ARNET: IP address reputed to participate in botnets"
"cns-001104","ARNET: IP address reputed to offer Windows exploits"
"cns-001105","ARNET: IP address reputed to scan networks"
"cns-001106","ARNET: IP address reputed to provide anonymization services"
"cns-001107","ARNET: IP address reputed to participate in web attacks "
"cns-001108","ARNET: IP address reputed to host phishing sites "
"cns-001109","ARNET: IP address reputed to send spam"
"cns-002001","RLNET: ConnLimit - TCP active connections from single client exceed specified limit"
"cns-002002","RLNET: ConnLimit - TCP active connections from client group exceed specified limit"
"cns-002003","RLNET: ConnLimit - TCP active connections to single server exceed specified limit"
"cns-002004","RLNET: ConnLimit - TCP active connections to server group exceed specified limit"
"cns-002005","RLNET: ClientPacketRateLimit - rate from client to enabled services exceeds specified limit"
"cns-002006","RLNET: ClientPacketRateLimit - packet rate from client exceeded overdraft threshold"
"cns-002007","RLNET: ICMP packet rate exceeded threshold"
"cns-002008","RLNET: ICMPv6 packet rate exceeded threshold"
"cns-002009","RLNET: UDP packets exceeded rate threshold"
"cns-003002","PVNET: IP frame destination address equals source addr-LanD"
"cns-003003","PVNET: ICMP frame length illegal for type or exceeds specified limit"
"cns-003004","PVNET: ICMP frame contains illegal header"
"cns-003005","PVNET: UDP frame length mismatch with IP length UDP bomb"
"cns-003006","PVNET: TCP frame header contains illegal flag combinations"
"cns-003007","IANET: TCP frame URG bit set to port 139-WinNuke"
"cns-003011","PVNET: IP frame source IP address zero"
"cns-003012","PVNET: IP frame destination address zero"
"cns-003015","IANET: UDP echo has multicast destination IP - Fraggle"
"cns-003018","IANET: ICMP unsolicited echo response"
"cns-003020","IANET: DNS unsolicited response"
"cns-003021","IANET: TCP SYN retry limit exceeded"
"cns-003022","IANET: TCP initial sequence number has changed"
"cns-003023","IANET: TCP frame contains bad sequence number"
"cns-003024","IANET: TCP frame contains bad ACK number"
"cns-003025","PVNET: ICMPv6 frame contains illegal header"
"cns-003026","IANET: ICMPv6 unsolicited echo response"
"cns-003027","PVNET: TCP SYN packet fragmented"
"cns-003028","IANET: TCP SYN retry limit exceeded on a proxied connection"
"cns-003029","IANET: TCP Proxy client connection reset."
"cns-003030","PVNET: TCP frame header contains illegal flag combinations"
"cns-033001","ARNET: IP address shunning service detect on label 001"
"cns-033002","ARNET: IP address shunning service detect on label 002"
"cns-033003","ARNET: IP address shunning service detect on label 003"
"cns-033004","ARNET: IP address shunning service detect on label 004"
"cns-033005","ARNET: IP address shunning service detect on label 005"
"cns-033006","ARNET: IP address shunning service detect on label 006"
"cns-033007","ARNET: IP address shunning service detect on label 007"
"cns-033008","ARNET: IP address shunning service detect on label 008"
"cns-033009","ARNET: IP address shunning service detect on label 009"
"cns-033010","ARNET: IP address shunning service detect on label 010"
"cns-033011","ARNET: IP address shunning service detect on label 011"
"cns-033012","ARNET: IP address shunning service detect on label 012"
"cns-033013","ARNET: IP address shunning service detect on label 013"
"cns-033014","ARNET: IP address shunning service detect on label 014"
"cns-033015","ARNET: IP address shunning service detect on label 015"
"cns-033016","ARNET: IP address shunning service detect on label 016"
"cns-033017","ARNET: IP address shunning service detect on label 017"
"cns-033018","ARNET: IP address shunning service detect on label 018"
"cns-033019","ARNET: IP address shunning service detect on label 019"
"cns-033020","ARNET: IP address shunning service detect on label 020"
"cns-033021","ARNET: IP address shunning service detect on label 021"
"cns-033022","ARNET: IP address shunning service detect on label 022"
"cns-033023","ARNET: IP address shunning service detect on label 023"
"cns-033024","ARNET: IP address shunning service detect on label 024"
"cns-033025","ARNET: IP address shunning service detect on label 025"
"cns-033026","ARNET: IP address shunning service detect on label 026"
"cns-033027","ARNET: IP address shunning service detect on label 027"
"cns-033028","ARNET: IP address shunning service detect on label 028"
"cns-033029","ARNET: IP address shunning service detect on label 029"
"cns-033030","ARNET: IP address shunning service detect on label 030"
"cns-033031","ARNET: IP address shunning service detect on label 031"
"cns-033032","ARNET: IP address shunning service detect on label 032"
"cns-033033","ARNET: IP address shunning service detect on label 033"
"cns-033034","ARNET: IP address shunning service detect on label 034"
"cns-033035","ARNET: IP address shunning service detect on label 035"
"cns-033036","ARNET: IP address shunning service detect on label 036"
"cns-033037","ARNET: IP address shunning service detect on label 037"
"cns-033038","ARNET: IP address shunning service detect on label 038"
"cns-033039","ARNET: IP address shunning service detect on label 039"
"cns-033040","ARNET: IP address shunning service detect on label 040"
"cns-033041","ARNET: IP address shunning service detect on label 041"
"cns-033042","ARNET: IP address shunning service detect on label 042"
"cns-033043","ARNET: IP address shunning service detect on label 043"
"cns-033044","ARNET: IP address shunning service detect on label 044"
"cns-033045","ARNET: IP address shunning service detect on label 045"
"cns-033046","ARNET: IP address shunning service detect on label 046"
"cns-033047","ARNET: IP address shunning service detect on label 047"
"cns-033048","ARNET: IP address shunning service detect on label 048"
"cns-033049","ARNET: IP address shunning service detect on label 049"
"cns-033050","ARNET: IP address shunning service detect on label 050"
"cns-033051","ARNET: IP address shunning service detect on label 051"
"cns-033052","ARNET: IP address shunning service detect on label 052"
"cns-033053","ARNET: IP address shunning service detect on label 053"
"cns-033054","ARNET: IP address shunning service detect on label 054"
"cns-033055","ARNET: IP address shunning service detect on label 055"
"cns-033056","ARNET: IP address shunning service detect on label 056"
"cns-033057","ARNET: IP address shunning service detect on label 057"
"cns-033058","ARNET: IP address shunning service detect on label 058"
"cns-033059","ARNET: IP address shunning service detect on label 059"
"cns-033060","ARNET: IP address shunning service detect on label 060"
"cns-033061","ARNET: IP address shunning service detect on label 061"
"cns-033062","ARNET: IP address shunning service detect on label 062"
"cns-033063","ARNET: IP address shunning service detect on label 063"
"cns-033064","ARNET: IP address shunning service detect on label 064"
"cns-033065","ARNET: IP address shunning service detect on label 065"
"cns-033066","ARNET: IP address shunning service detect on label 066"
"cns-033067","ARNET: IP address shunning service detect on label 067"
"cns-033068","ARNET: IP address shunning service detect on label 068"
