"signature_id","ips_name","ips_cat_id","ips_cat_name"
4014,"Suspicious POP Traffic 3",24,POP
7376,"Windows IE Type Confusion Vulnerability (MS13-069) 10",40,"WEB-CLIENT"
5474,"Suspicious SIP Traffic 3",37,"VoIP-ATTACKS"
9941,"Windows IE Use-After-Free Vulnerability (MS13-047) 7",40,"WEB-CLIENT"
4974,"Sourcefire Snort DCE-RPC Preprocessor Buffer Overflow 3",14,MISC
3228,"HP Data Protector Remote Code Execution 8",14,MISC
4754,"CA ARCserve Backup LGServer Remote Code Execution",28,RPC
8085,"PeerCast Authentication Buffer Overflow",38,"WEB-ATTACKS"
1573,"NeoTrace Express/Pro ActiveX TraceTarget Method Invocation",61,ACTIVEX
4196,"Suspicious RDP Traffic 7",14,MISC
8261,"Cross-Site Scripting (XSS) Attack 35",64,XSS
8401,"Cisco NX-OS Privilege Escalation 3",34,TELNET
3655,"PHP NULL Poisoning 2",45,"WEB-PHP"
521,"SMTP Relay Denied",13,INFO
3157,"Asterisk SIP sscanf DoS",37,"VoIP-ATTACKS"
4380,"Sendmail SMTP Timeout Buffer Overflow",31,SMTP
4540,"Novell iManager Class Name Buffer Overflow",38,"WEB-ATTACKS"
5353,"RealNetworks Helix Server RTSP SET_PARAMETER Heap Buffer Overflow",14,MISC
7363,"Microsoft SMB Client Incomplete Response DoS (MS10-020)",19,NETBIOS
4104,"DeleGate DNS Message Decompression DoS",5,DNS
6059,"ProFTPD Server Backdoor Account Access",2,BACKDOOR
3120,"Weevely Backdoor Access 6",2,BACKDOOR
8994,"BSD x86 chroot Shellcode Exploit (UDP)",7,EXPLOIT
7543,"Oracle GlassFish Administration Console Authentication Bypass 3",38,"WEB-ATTACKS"
7392,"Windows SRVSVC NetrUseGetInfo Buffer Overflow 1 (MS08-067)",19,NETBIOS
6430,"Microsoft Office Document with Flash Video",13,INFO
4231,"ISC dhclient script_write_params Buffer Overflow 2",14,MISC
9722,"Microsoft SharePoint Server XSS 6 (MS13-024)",64,XSS
9860,"Appian BPM DoS",6,DOS
8122,"FCRing fcring.php Remote File Inclusion",45,"WEB-PHP"
7708,"Asterisk IAX2 Spoofed ACK DoS 2",37,"VoIP-ATTACKS"
9531,"Qvod Informational 2",13,INFO
9188,"Mac OS X PPC Xterm Execution Shellcode Exploit (TCP)",7,EXPLOIT
4488,"T.120 Informational",13,INFO
7034,"FTP Command Informational 1b",13,INFO
4115,"Oracle DB SYS.LT SQL Injection 2",49,"SQL-INJECTION"
8619,"Deprecated ActiveX Instantiation 072",61,ACTIVEX
3147,"Client Application Shellcode Exploit 32",7,EXPLOIT
5066,"Microsoft SQL Server Server Hello Buffer Overflow (MS02-056)",67,"DB-ATTACKS"
9801,"ActFax RAW Server Buffer Overflow",14,MISC
786,"xp_reg Stored Procedure Call 2",13,INFO
4205,"MySQL MaxDB WebDBM Buffer Overflow",67,"DB-ATTACKS"
4537,"Symantec Norton AntiVirus File Decompression DoS",6,DOS
4979,"Microsoft ASN.1 Library Decoding Integer Overflow (MS04-007)",19,NETBIOS
8303,"Server Application Shellcode Exploit 37",7,EXPLOIT
9861,"Kaillera Server DoS",6,DOS
9736,"Windows IE removeChild Use-After-Free 2 (MS13-021)",40,"WEB-CLIENT"
9230,"Cisco SCCP DoS",6,DOS
5072,"CA ARCserve Backup Discovery Service Buffer Overflow 2",28,RPC
8232,"Windows LANMAN Service DoS 1",19,NETBIOS
9707,"HTTP Server Suspicious File Upload 10b",38,"WEB-ATTACKS"
1134,"RealWin Server FC_INFOTAG/SET_CONTROL Buffer Overflow",83,"SCADA-ATTACKS"
10175,"Novell Netware XNFS.NLM Buffer Overflow 6",28,RPC
5860,"Suspicious CIFS Traffic 2a",19,NETBIOS
6074,"Suspicious RDP Traffic 2",14,MISC
5908,"Suspicious HTML Style Tag 1",40,"WEB-CLIENT"
5659,"Server Application Shellcode Exploit 35",7,EXPLOIT
8640,"Deprecated ActiveX Instantiation 090",61,ACTIVEX
3111,"Symantec WinFax Pro ActiveX Instantiation",61,ACTIVEX
3324,"WordPress Login wp-login.php",13,INFO
3875,"Server Application Shellcode Exploit 19",7,EXPLOIT
6140,"HTTP Server Suspicious File Upload 6c",38,"WEB-ATTACKS"
8433,"IBM Lotus iNotes ActiveX Buffer Overflow 1",61,ACTIVEX
3630,"VML File HTTP Download 3a",13,INFO
4139,"Microsoft Outlook Web Access XSS 1 (MS05-029)",64,XSS
8680,"Flexera/Novell Products ActiveX DoFindReplace Method Invocation 2",61,ACTIVEX
1285,"Masked Edit ActiveX Instantiation (MS08-070)",61,ACTIVEX
7343,"Blueberry FlashBack ActiveX Instantiation 1",61,ACTIVEX
8497,"SIP Stress Test Traffic 10b (Invalid Time Zone)",37,"VoIP-ATTACKS"
124,"QQDownload Informational 5",13,INFO
1184,"DECLARE CAST Statement (Possible SQL Injection)",49,"SQL-INJECTION"
8902,"IBM Lotus Domino vpuserinfo.nsf Access",38,"WEB-ATTACKS"
1160,"HTTP Server Directory Traversal Attack 2",38,"WEB-ATTACKS"
3471,"Windows IE Memory Corruption Vulnerability (MS14-012) 9",40,"WEB-CLIENT"
8056,"Apple QuickTime TeXML Handling Buffer Overflow 1",85,"MEDIA-PLAYERS"
8141,"UNION SELECT Statement 5 (Possible SQL Injection)",49,"SQL-INJECTION"
8422,"Microsoft Outlook Express NNTP Response Buffer Overflow 2 (MS05-030)",14,MISC
1145,"Memcached DoS",6,DOS
8384,"Novell ZENworks Configuration Management Buffer Overflow 1",14,MISC
6315,"HTTP Client Shellcode Exploit 11a",7,EXPLOIT
5445,"Microsoft SMB TRANS Request Buffer Overflow 2 (MS09-001)",19,NETBIOS
