_raw,host,index,source,sourcetype,_time
"2019-06-14 02:51:57	apic_host=x.x.x.x Username=admin component=credentials","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:57.000-0700"
"2019-06-14 02:51:57	apic_host=x.x.x.x	component=cloudApp	related_component=cloudZone	dn=uni/tn-aciguruDemo/cloudapp-CloudAP	lcOwn=local	modTs=2019-06-03T22:05:43.403+00:00	name=CloudAP	uid=15374	childAction=	dn=	related_Provp=aws	related_Zone=us-east-1a	related_Region=us-east-1	ctxDn=uni/clouddomp/provp-aws/region-us-east-1/zone-us-east-1a	ctxClass=cloudZone	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:57.000-0700"
"2019-06-14 02:51:57	apic_host=x.x.x.x	component=cloudApp	related_component=cloudZone	dn=uni/tn-aciguruDemo/cloudapp-CloudAP	lcOwn=local	modTs=2019-06-03T22:05:43.403+00:00	name=CloudAP	uid=15374	childAction=	dn=	related_Provp=aws	related_Zone=us-east-1b	related_Region=us-east-1	ctxDn=uni/clouddomp/provp-aws/region-us-east-1/zone-us-east-1b	ctxClass=cloudZone	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:57.000-0700"
"2019-06-14 02:51:57	apic_host=x.x.x.x	component=cloudApp	related_component=vzBrCP	dn=uni/tn-aciguruDemo/cloudapp-CloudAP	lcOwn=local	modTs=2019-06-03T22:05:43.403+00:00	name=CloudAP	uid=15374","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:57.000-0700"
"2019-06-14 02:51:57	apic_host=x.x.x.x	component=cloudApp	related_component=hcloudEndPoint	dn=uni/tn-aciguruDemo/cloudapp-CloudAP	lcOwn=local	modTs=2019-06-03T22:05:43.403+00:00	name=CloudAP	uid=15374","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:57.000-0700"
"2019-06-14 02:51:57	apic_host=x.x.x.x	component=cloudApp	related_component=cloudRegion	dn=uni/tn-aciguruDemo/cloudapp-CloudAP	lcOwn=local	modTs=2019-06-03T22:05:43.403+00:00	name=CloudAP	uid=15374	childAction=	dn=	related_Provp=aws	related_Region=us-east-1	ctxDn=uni/clouddomp/provp-aws/region-us-east-1	ctxClass=cloudRegion	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:57.000-0700"
"2019-06-14 02:51:57	apic_host=x.x.x.x	component=cloudApp	related_component=cloudEPg	dn=uni/tn-aciguruDemo/cloudapp-CloudAP	lcOwn=local	modTs=2019-06-03T22:05:43.403+00:00	name=CloudAP	uid=15374","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:57.000-0700"
"2019-06-14 02:51:57	apic_host=x.x.x.x	component=cloudApp	related_component=cloudEPg	dn=uni/tn-aciguruDemo/cloudapp-CloudAP	lcOwn=local	modTs=2019-06-03T22:05:43.403+00:00	name=CloudAP	uid=15374","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:57.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=fvCtx	dn=uni/tn-aciguruDemo/cloudapp-CloudAP	lcOwn=local	modTs=2019-06-03T22:05:43.403+00:00	name=CloudAP	uid=15374	childAction=	dn=	related_Tenant=aciguruDemo	related_Ctx=CloudVRF	ctxDn=uni/tn-aciguruDemo/ctx-CloudVRF	ctxClass=fvCtx	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudZone	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Provp=aws	related_Zone=us-east-1a	related_Region=us-east-1	ctxDn=uni/clouddomp/provp-aws/region-us-east-1/zone-us-east-1a	ctxClass=cloudZone	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
