"_raw",host,index,source,sourcetype
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5400"", ""name"": ""ASC\\svcebr"", ""type"": ""user""}, ""display_name"": ""svcEBR"", ""description"": """"}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5399"", ""name"": ""ASC\\alex"", ""type"": ""user""}, ""display_name"": ""Alex Huntington"", ""description"": """"}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5395"", ""name"": ""ASC\\cascia"", ""type"": ""user""}, ""display_name"": ""Andrew Casciaro"", ""description"": """"}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5393"", ""name"": ""ASC\\svccloudlink"", ""type"": ""user""}, ""display_name"": ""svcCloudLink"", ""description"": """"}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5390"", ""name"": ""ASC\\cargia1"", ""type"": ""user""}, ""display_name"": ""Andrew Cargill"", ""description"": """"}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5386"", ""name"": ""ASC\\chunga"", ""type"": ""user""}, ""display_name"": ""Andrew Chung"", ""description"": """"}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5385"", ""name"": ""ASC\\cherna1"", ""type"": ""user""}, ""display_name"": ""Arseny Chernov"", ""description"": """"}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5379"", ""name"": ""ASC\\murphd30"", ""type"": ""user""}, ""display_name"": ""Damian Murphy"", ""description"": """"}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5376"", ""name"": ""ASC\\svcvsa"", ""type"": ""user""}, ""display_name"": ""svcvsa"", ""description"": ""vsa svc user""}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
"{""timestamp"": ""2016-09-20 20:49:23"", ""namespace"": ""auth"", ""objects"": {""id"": {""id"": ""SID:S-1-5-21-3523807955-3743164635-854022689-5375"", ""name"": ""ASC\\morand3"", ""type"": ""user""}, ""display_name"": ""Daniel Moran"", ""description"": ""Working on RPSP Temp""}, ""node"": ""1.2.246.130""}","splunk-test02",isilon,"isilon://isistl.vce.asc::/platform/1/auth/providers/ads/$get_ad_domains$/search?search_users=true","emc:isilon:rest"
