"_raw",host,index,source,sourcetype,time
"{""namespace"": ""statistics"", ""timestamp"": ""2016-07-21 12:00:31"", ""node"": ""1.2.247.40"", ""stats"": {""devid"": 3, ""value"": 0.0, ""error_code"": null, ""time"": 1469066421, ""key"": ""node.ifs.heat.link.total"", ""error"": null}}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=node.ifs.heat.link.total&devid=all","emc:isilon:rest","21-07-2016 12:00:31"
"{""namespace"": ""statistics"", ""timestamp"": ""2016-07-21 12:00:31"", ""node"": ""1.2.247.40"", ""stats"": {""devid"": 2, ""value"": 0.0, ""error_code"": null, ""time"": 1469066423, ""key"": ""node.ifs.heat.link.total"", ""error"": null}}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=node.ifs.heat.link.total&devid=all","emc:isilon:rest","21-07-2016 12:00:31"
"{""namespace"": ""statistics"", ""timestamp"": ""2016-07-21 12:00:31"", ""node"": ""1.2.247.40"", ""stats"": {""devid"": 1, ""value"": 0.0, ""error_code"": null, ""time"": 1469066426, ""key"": ""node.ifs.heat.link.total"", ""error"": null}}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=node.ifs.heat.link.total&devid=all","emc:isilon:rest","21-07-2016 12:00:31"
"{""node"": ""1.2.246.130"", ""stats"": {""error"": null, ""key"": ""cluster.node.count.down"", ""error_code"": null, ""time"": 1469065833, ""value"": 0, ""devid"": 0}, ""timestamp"": ""2016-07-21 12:00:31"", ""namespace"": ""statistics""}","splunk-test03",isilon,"isilon://1.2.246.130::/platform/1/statistics/current?key=cluster.node.count.down","emc:isilon:rest","21-07-2016 12:00:31"
"{""node"": ""1.2.247.40"", ""timestamp"": ""2016-07-21 12:00:31"", ""namespace"": ""statistics"", ""stats"": {""devid"": 3, ""key"": ""node.sensor.fan.rpms.1"", ""error"": null, ""value"": 7468, ""error_code"": null, ""time"": 1469066428}}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=node.sensor.fan.rpms.$get_count$&devid=all","emc:isilon:rest","21-07-2016 12:00:31"
"{""node"": ""1.2.247.40"", ""timestamp"": ""2016-07-21 12:00:31"", ""namespace"": ""statistics"", ""stats"": {""devid"": 2, ""key"": ""node.sensor.fan.rpms.1"", ""error"": null, ""value"": 7637, ""error_code"": null, ""time"": 1469066428}}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=node.sensor.fan.rpms.$get_count$&devid=all","emc:isilon:rest","21-07-2016 12:00:31"
"{""node"": ""1.2.247.40"", ""timestamp"": ""2016-07-21 12:00:31"", ""namespace"": ""statistics"", ""stats"": {""devid"": 1, ""key"": ""node.sensor.fan.rpms.1"", ""error"": null, ""value"": 7387, ""error_code"": null, ""time"": 1469066428}}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=node.sensor.fan.rpms.$get_count$&devid=all","emc:isilon:rest","21-07-2016 12:00:31"
"{""stats"": {""key"": ""cluster.protostats.http.total"", ""error"": null, ""time"": 1469066428, ""error_code"": null, ""value"": [], ""devid"": 0}, ""node"": ""1.2.247.40"", ""namespace"": ""statistics"", ""timestamp"": ""2016-07-21 12:00:31""}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=cluster.protostats.http.total","emc:isilon:rest","21-07-2016 12:00:31"
"{""node"": ""1.2.247.40"", ""timestamp"": ""2016-07-21 12:00:31"", ""namespace"": ""statistics"", ""stats"": {""devid"": 3, ""key"": ""node.sensor.fan.rpms.0"", ""error"": null, ""value"": 7346, ""error_code"": null, ""time"": 1469066428}}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=node.sensor.fan.rpms.$get_count$&devid=all","emc:isilon:rest","21-07-2016 12:00:31"
"{""node"": ""1.2.247.40"", ""timestamp"": ""2016-07-21 12:00:31"", ""namespace"": ""statistics"", ""stats"": {""devid"": 2, ""key"": ""node.sensor.fan.rpms.0"", ""error"": null, ""value"": 7427, ""error_code"": null, ""time"": 1469066428}}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/statistics/current?key=node.sensor.fan.rpms.$get_count$&devid=all","emc:isilon:rest","21-07-2016 12:00:31"
